metric_name,description,base_unit,statistic,measurement_value,tag,tag_value,is_alert
jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,15.0,,,False
jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,15.0,,,False
jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,15.0,,,False
jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,15.0,,,False
jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,15.0,,,False
jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,15.0,,,False
jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,15.0,,,False
jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,15.0,,,False
jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,15.0,,,False
jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,15.0,,,False
jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,15.0,,,False
jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,15.0,,,False
jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,15.0,,,False
jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,15.0,,,False
jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,15.0,,,False
jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,15.0,,,False
jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,15.0,,,False
jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,15.0,,,False
jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,15.0,,,False
jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,15.0,,,False
jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,15.0,,,False
jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,15.0,,,False
jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,15.0,,,False
jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,15.0,,,False
jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,15.0,,,False
jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,15.0,,,False
jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,15.0,,,False
jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,15.0,,,False
jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,15.0,,,False
jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,15.0,,,False
jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,15.0,,,False
jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,15.0,,,False
jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,15.0,,,False
jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,15.0,,,False
jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,15.0,,,False
jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,15.0,,,False
jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,15.0,,,False
jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,15.0,,,False
jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,15.0,,,False
jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,15.0,,,False
jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,15.0,,,False
jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,15.0,,,False
jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,15.0,,,False
jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,15.0,,,False
jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,15.0,,,False
jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,15.0,,,False
jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,15.0,,,False
jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,15.0,,,False
jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,15.0,,,False
jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,15.0,,,False
jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,15.0,,,False
jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,15.0,,,False
jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,15.0,,,False
jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,15.0,,,False
jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,17.0,,,True
jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,15.0,,,False
jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,15.0,,,False
jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,15.0,,,False
jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,15.0,,,False
jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,15.0,,,False
jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,15.0,,,False
jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,15.0,,,False
jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,15.0,,,False
jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,15.0,,,False
jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,15.0,,,False
jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,15.0,,,False
jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,15.0,,,False
jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,15.0,,,False
jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,15.0,,,False
jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,15.0,,,False
jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,15.0,,,False
jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,15.0,,,False
jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,15.0,,,False
jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,15.0,,,False
jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,15.0,,,False
jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,15.0,,,False
jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,15.0,,,False
jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,15.0,,,False
jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,15.0,,,False
jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,15.0,,,False
jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,15.0,,,False
jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,15.0,,,False
jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,15.0,,,False
jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,15.0,,,False
jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,15.0,,,False
jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,15.0,,,False
jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,15.0,,,False
jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,15.0,,,False
jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,15.0,,,False
jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,15.0,,,False
jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,15.0,,,False
jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,15.0,,,False
jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,15.0,,,False
jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,15.0,,,False
jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,15.0,,,False
jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,15.0,,,False
jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,15.0,,,False
jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,15.0,,,False
jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,15.0,,,False
jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,15.0,,,False
jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,15.0,,,False
jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,15.0,,,False
jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,15.0,,,False
jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,15.0,,,False
jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,15.0,,,False
jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,15.0,,,False
jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,15.0,,,False
jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,15.0,,,False
jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,15.0,,,False
jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,15.0,,,False
jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,15.0,,,False
jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,15.0,,,False
jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,15.0,,,False
jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,15.0,,,False
jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,15.0,,,False
jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,15.0,,,False
jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,15.0,,,False
jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,15.0,,,False
jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,15.0,,,False
jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,15.0,,,False
jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,15.0,,,False
jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,15.0,,,False
jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,15.0,,,False
jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,15.0,,,False
jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,15.0,,,False
jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,15.0,,,False
jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,15.0,,,False
jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,15.0,,,False
jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,15.0,,,False
jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,15.0,,,False
jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,15.0,,,False
jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,15.0,,,False
jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,15.0,,,False
jvm.threads.daemon,The current number of live daemon threads,threads,VALUE,15.0,,,False
