metric_name,description,base_unit,statistic,measurement_value,tag,tag_value
system.cpu.usage,"The ""recent cpu usage"" of the system the application is running in",,VALUE,0.699155730168018,,
system.cpu.usage,"The ""recent cpu usage"" of the system the application is running in",,VALUE,0.4958353748162665,,
system.cpu.usage,"The ""recent cpu usage"" of the system the application is running in",,VALUE,0.6771862422246615,,
system.cpu.usage,"The ""recent cpu usage"" of the system the application is running in",,VALUE,0.3765641855447681,,
system.cpu.usage,"The ""recent cpu usage"" of the system the application is running in",,VALUE,0.6227516778523491,,
system.cpu.usage,"The ""recent cpu usage"" of the system the application is running in",,VALUE,0.4455446871231408,,
system.cpu.usage,"The ""recent cpu usage"" of the system the application is running in",,VALUE,0.4730352374469868,,
system.cpu.usage,"The ""recent cpu usage"" of the system the application is running in",,VALUE,0.3475864823884527,,
system.cpu.usage,"The ""recent cpu usage"" of the system the application is running in",,VALUE,0.3229007848322034,,
system.cpu.usage,"The ""recent cpu usage"" of the system the application is running in",,VALUE,0.3163438208951863,,
system.cpu.usage,"The ""recent cpu usage"" of the system the application is running in",,VALUE,0.3354968559116451,,
system.cpu.usage,"The ""recent cpu usage"" of the system the application is running in",,VALUE,0.35086155256637763,,
system.cpu.usage,"The ""recent cpu usage"" of the system the application is running in",,VALUE,0.2817124069054633,,
system.cpu.usage,"The ""recent cpu usage"" of the system the application is running in",,VALUE,0.2655678578829169,,
system.cpu.usage,"The ""recent cpu usage"" of the system the application is running in",,VALUE,0.2760568349836462,,
system.cpu.usage,"The ""recent cpu usage"" of the system the application is running in",,VALUE,0.3008691464220512,,
system.cpu.usage,"The ""recent cpu usage"" of the system the application is running in",,VALUE,0.2657214111581248,,
system.cpu.usage,"The ""recent cpu usage"" of the system the application is running in",,VALUE,0.24377526805501468,,
system.cpu.usage,"The ""recent cpu usage"" of the system the application is running in",,VALUE,0.25727532496638283,,
system.cpu.usage,"The ""recent cpu usage"" of the system the application is running in",,VALUE,0.27776424437407077,,
system.cpu.usage,"The ""recent cpu usage"" of the system the application is running in",,VALUE,0.2549201431008738,,
system.cpu.usage,"The ""recent cpu usage"" of the system the application is running in",,VALUE,0.2503585193152281,,
system.cpu.usage,"The ""recent cpu usage"" of the system the application is running in",,VALUE,0.2724650021567298,,
system.cpu.usage,"The ""recent cpu usage"" of the system the application is running in",,VALUE,0.29016690520938077,,
system.cpu.usage,"The ""recent cpu usage"" of the system the application is running in",,VALUE,0.25443281290279196,,
system.cpu.usage,"The ""recent cpu usage"" of the system the application is running in",,VALUE,0.2499866949387547,,
system.cpu.usage,"The ""recent cpu usage"" of the system the application is running in",,VALUE,0.27260327685198155,,
system.cpu.usage,"The ""recent cpu usage"" of the system the application is running in",,VALUE,0.2876767948297925,,
system.cpu.usage,"The ""recent cpu usage"" of the system the application is running in",,VALUE,0.25558677607232205,,
system.cpu.usage,"The ""recent cpu usage"" of the system the application is running in",,VALUE,0.252423566593446,,
system.cpu.usage,"The ""recent cpu usage"" of the system the application is running in",,VALUE,0.2784690281847161,,
system.cpu.usage,"The ""recent cpu usage"" of the system the application is running in",,VALUE,0.2860959197560422,,
system.cpu.usage,"The ""recent cpu usage"" of the system the application is running in",,VALUE,0.2519526653742282,,
system.cpu.usage,"The ""recent cpu usage"" of the system the application is running in",,VALUE,0.2549262981527608,,
system.cpu.usage,"The ""recent cpu usage"" of the system the application is running in",,VALUE,0.274788550943819,,
system.cpu.usage,"The ""recent cpu usage"" of the system the application is running in",,VALUE,0.2902484364239041,,
system.cpu.usage,"The ""recent cpu usage"" of the system the application is running in",,VALUE,0.3390495379385644,,
system.cpu.usage,"The ""recent cpu usage"" of the system the application is running in",,VALUE,0.3072438063063063,,
system.cpu.usage,"The ""recent cpu usage"" of the system the application is running in",,VALUE,0.3305596620908131,,
system.cpu.usage,"The ""recent cpu usage"" of the system the application is running in",,VALUE,0.34119245232075107,,
system.cpu.usage,"The ""recent cpu usage"" of the system the application is running in",,VALUE,0.31365442606318517,,
system.cpu.usage,"The ""recent cpu usage"" of the system the application is running in",,VALUE,0.3101542517830785,,
system.cpu.usage,"The ""recent cpu usage"" of the system the application is running in",,VALUE,0.33786668018223487,,
system.cpu.usage,"The ""recent cpu usage"" of the system the application is running in",,VALUE,0.3414348075560006,,
system.cpu.usage,"The ""recent cpu usage"" of the system the application is running in",,VALUE,0.3130274008895002,,
system.cpu.usage,"The ""recent cpu usage"" of the system the application is running in",,VALUE,0.3063537918334938,,
system.cpu.usage,"The ""recent cpu usage"" of the system the application is running in",,VALUE,0.33446839646535714,,
system.cpu.usage,"The ""recent cpu usage"" of the system the application is running in",,VALUE,0.34309658731386306,,
system.cpu.usage,"The ""recent cpu usage"" of the system the application is running in",,VALUE,0.316513167159555,,
system.cpu.usage,"The ""recent cpu usage"" of the system the application is running in",,VALUE,0.3009406773214784,,
system.cpu.usage,"The ""recent cpu usage"" of the system the application is running in",,VALUE,0.32131271048740306,,
system.cpu.usage,"The ""recent cpu usage"" of the system the application is running in",,VALUE,0.336768609542663,,
system.cpu.usage,"The ""recent cpu usage"" of the system the application is running in",,VALUE,0.3066621575921542,,
system.cpu.usage,"The ""recent cpu usage"" of the system the application is running in",,VALUE,0.2980225391645461,,
system.cpu.usage,"The ""recent cpu usage"" of the system the application is running in",,VALUE,0.3120867428368759,,
system.cpu.usage,"The ""recent cpu usage"" of the system the application is running in",,VALUE,0.3324552219482815,,
system.cpu.usage,"The ""recent cpu usage"" of the system the application is running in",,VALUE,0.3023726501123323,,
system.cpu.usage,"The ""recent cpu usage"" of the system the application is running in",,VALUE,0.3020206060128098,,
system.cpu.usage,"The ""recent cpu usage"" of the system the application is running in",,VALUE,0.3183511319708202,,
system.cpu.usage,"The ""recent cpu usage"" of the system the application is running in",,VALUE,0.3391970117179809,,
system.cpu.usage,"The ""recent cpu usage"" of the system the application is running in",,VALUE,0.2918782584190503,,
system.cpu.usage,"The ""recent cpu usage"" of the system the application is running in",,VALUE,0.29648180335396346,,
system.cpu.usage,"The ""recent cpu usage"" of the system the application is running in",,VALUE,0.3224746344059678,,
system.cpu.usage,"The ""recent cpu usage"" of the system the application is running in",,VALUE,0.33466355063965736,,
system.cpu.usage,"The ""recent cpu usage"" of the system the application is running in",,VALUE,0.2961761539458777,,
system.cpu.usage,"The ""recent cpu usage"" of the system the application is running in",,VALUE,0.30143533931579153,,
system.cpu.usage,"The ""recent cpu usage"" of the system the application is running in",,VALUE,0.31711270122203433,,
system.cpu.usage,"The ""recent cpu usage"" of the system the application is running in",,VALUE,0.3301524676801162,,
system.cpu.usage,"The ""recent cpu usage"" of the system the application is running in",,VALUE,0.2984745404605958,,
system.cpu.usage,"The ""recent cpu usage"" of the system the application is running in",,VALUE,0.2967316505685739,,
